time,open,high,low,close
1592949600,6286.7,6309.4,6272.3,6285
1592964000,6284.8,6313.8,6275,6296.4
1592978400,6295.9,6303.4,6162.3,6173.2
1592992800,6173.4,6213.9,6173.1,6176.9
1593007200,6177,6185.8,6101.9,6127.7
1593021600,6127.8,6153.2,6115.4,6141.1
1593036000,6136.9,6158.4,6100.4,6104
1593050400,6104.3,6121.4,6083.8,6120.2
1593064800,6120.3,6149,6032,6122.8
1593079200,6122.9,6146.1,6096.7,6127
1593093600,6126.8,6193.8,6123.5,6179.3
1593108000,6179.4,6228.5,6164.4,6215.4
1593122400,6207,6226.2,6197.7,6219.7
1593136800,6219.9,6237.7,6204.7,6218.8
1593151200,6218.8,6251.1,6187,6247.2
1593165600,6247.2,6269.2,6217.1,6232.8
1593180000,6232.8,6232.8,6151.1,6172.3
1593194400,6172.2,6174.3,6139.5,6147.4
1593381600,6118.8,6178.3,6117.6,6173.9
1593396000,6173.6,6174.9,6116.2,6117.9
1593410400,6118,6193,6113.6,6188.4
1593424800,6188.5,6218,6166.5,6194.8
1593439200,6194.9,6259.3,6194.8,6242.3
1593453600,6242.4,6254.2,6223.2,6242.4
1593468000,6243.6,6269.3,6239.3,6246.1
1593482400,6245.9,6269.8,6227.8,6228.1
1593496800,6228.3,6252,6166.5,6206
1593511200,6206.1,6218.1,6151.9,6155.5
1593525600,6155.4,6197.9,6154.5,6168
1593540000,6167.9,6215.1,6161.9,6184.4
1593554400,6183.6,6206,6176,6200.3
1593568800,6200.4,6202.8,6169.3,6173.7
1593583200,6173.7,6196.7,6129.5,6130.7
1593597600,6130.8,6199.3,6086.8,6185.1
1593612000,6185,6209.3,6160,6181.4
1593626400,6181.6,6204,6173.3,6177.4
1593640800,6176.4,6193,6157.4,6187
1593655200,6187.3,6212.5,6184.8,6194.5
1593669600,6194.8,6232.3,6192.6,6212.7
1593684000,6212.8,6265,6194.3,6260.7
1593698400,6260.8,6263.7,6210.7,6253.6
1593712800,6253.3,6260.6,6229.9,6241.6
1593727200,6240.7,6260.1,6229.8,6239
1593741600,6239.2,6252.7,6234.4,6252.7
1593756000,6252.7,6268.9,6181.2,6182
1593770400,6181.9,6200.1,6152.6,6164.7
1593784800,6164.8,6177.5,6137.9,6175.6
1593799200,6175.5,6185.3,6164.6,6164.7
1593986400,6191.2,6247.4,6187.2,6236.9
1594000800,6237.1,6251.6,6228,6242.1
1594015200,6242.6,6309.6,6235.6,6277.6
1594029600,6277.5,6292.5,6257.4,6271
1594044000,6271,6294.6,6254,6286
1594058400,6286.1,6295.6,6274.1,6284.1
1594072800,6287.7,6323.6,6270.3,6270.3
1594087200,6270,6290.5,6258.9,6267.2
1594101600,6267.5,6267.5,6197.9,6206.9
1594116000,6207,6215.3,6183.1,6189.2
1594130400,6189.3,6201.8,6181.2,6195.7
1594144800,6195.8,6197.3,6151.6,6160.6
1594159200,6160.5,6185.3,6155.9,6166.5
1594173600,6166.4,6179.3,6139.4,6143.8
1594188000,6143.9,6213.4,6126.5,6168.6
1594202400,6168.6,6195.7,6152.1,6179.6
1594216800,6179.6,6184.8,6146.6,6157.5
1594231200,6157.6,6197.6,6154,6194.7
1594245600,6198.3,6201.3,6182,6185.3
1594260000,6185.4,6211.2,6182.2,6188
1594274400,6188.3,6193.6,6113.2,6124.4
1594288800,6124.3,6136.7,6112.1,6124.8
1594303200,6124.6,6128.9,6031.6,6060
1594317600,6060.1,6084.9,6057.4,6069.7
1594332000,6073.7,6097.5,6065.3,6079.8
1594346400,6079.9,6085.7,6015.1,6024.4
1594360800,6024.4,6084.9,5996.9,6073.3
1594375200,6073.3,6101.9,6066.9,6083.2
1594389600,6083,6117.9,6073,6115.9
1594404000,6115.9,6136.6,6110.7,6131.1
1594591200,6152.2,6166.4,6126.8,6144.4
1594605600,6144.7,6173.2,6138.5,6171.5
1594620000,6171.6,6190.3,6137.1,6160.2
1594634400,6160.1,6183.3,6148.7,6153.6
1594648800,6153.7,6196.5,6152.2,6192.3
1594663200,6192.4,6193.8,6087.1,6104.5
1594677600,6119.6,6129.7,6099.6,6114.8
1594692000,6114.7,6119.2,6090.8,6107.4
1594706400,6107.4,6162,6092.8,6159.8
1594720800,6159.8,6175.3,6132.7,6164.2
1594735200,6164.2,6188.6,6143.5,6181.8
1594749600,6181.8,6215.2,6178.5,6200.1
1594764000,6247.2,6252.2,6220,6233.3
1594778400,6233.4,6242.1,6216.8,6236.2
1594792800,6236.2,6244.5,6209,6232.6
1594807200,6232.7,6315,6226.9,6285.5
1594821600,6285.6,6327.3,6274.7,6295.6
1594836000,6295.5,6316.8,6288,6300.6
1594850400,6302.5,6314.9,6276.3,6290.3
1594864800,6290.5,6300.1,6257.9,6274.1
1594879200,6274.1,6286.4,6228.3,6257.9
1594893600,6257.8,6284.1,6248.2,6271
1594908000,6271,6280.6,6242.7,6264.2
1594922400,6264.2,6281.6,6246.4,6253.7
1594936800,6251.9,6281.9,6249.6,6274.6
1594951200,6274.5,6285.3,6259,6268
1594965600,6268,6284.4,6230.3,6274.9
1594980000,6274.7,6297,6271.7,6288.6
1594994400,6287.4,6299.4,6273.3,6288.5
1595008800,6288.6,6305.1,6286.9,6305.1
1595196000,6305.1,6308.9,6270.4,6274.5
1595210400,6274.5,6299.5,6271.1,6299.2
1595224800,6299.5,6303,6221.8,6270
1595239200,6270.1,6295.2,6239.9,6246.5
1595253600,6246.6,6278.9,6241.5,6267
1595268000,6266.9,6274,6257.1,6262.8
1595282400,6268,6283.2,6259.4,6276.8
1595296800,6276.9,6315.5,6262.9,6309.4
1595311200,6309.1,6319.8,6273.7,6297.3
1595325600,6297.4,6307.8,6277.1,6294.2
1595340000,6294.4,6295.9,6251.9,6262.7
1595354400,6262.6,6268.3,6238.2,6244.2
1595368800,6245.1,6272,6244,6259.7
1595383200,6259.6,6276.8,6244.9,6252
1595397600,6252,6273.8,6199.3,6218.6
1595412000,6218.5,6236.7,6203.5,6224.8
1595426400,6224.8,6225.1,6198.1,6198.4
1595440800,6198.3,6225,6197.8,6209.4
1595455200,6204.7,6218.2,6186.8,6215.9
1595469600,6215.8,6216.5,6189.3,6209.9
1595484000,6210,6277.8,6210,6244.1
1595498400,6244.3,6253,6219.8,6232
1595512800,6231.8,6234,6170.5,6176.9
1595527200,6176.5,6178.3,6152.5,6172.3
1595541600,6177.3,6185.2,6164.6,6172.4
1595556000,6172.3,6181,6137.5,6141.7
1595570400,6142.5,6153,6097.5,6145.9
